id,name,location,link
242,Karel Bank,Csehország,rozhodca.php?meno=Karel Bank&mesto=Csehország
243,Horváth  Zoltán,Maglód,rozhodca.php?meno=Horváth  Zoltán&mesto=Maglód
244,Kisteleki Károly dr.,Budapest,rozhodca.php?meno=Kisteleki Károly dr.&mesto=Budapest
245,Dr. Hetei Zoltán,Budapest,rozhodca.php?meno=Dr. Hetei Zoltán&mesto=Budapest
246,Vorobchenko Daria,Budapest,rozhodca.php?meno=Vorobchenko Daria&mesto=Budapest
247,Miroslav Balun,Slovakia,rozhodca.php?meno=Miroslav Balun&mesto=Slovakia
248,Larisa Davydova,Russian Federation,rozhodca.php?meno=Larisa Davydova&mesto=Russian Federation
249,Hendrik Heneke,Germany,rozhodca.php?meno=Hendrik Heneke&mesto=Germany
250,Giedrius Januskevicius,Lithuania,rozhodca.php?meno=Giedrius Januskevicius&mesto=Lithuania
251,Jaroslav Kucera,Czech Republic,rozhodca.php?meno=Jaroslav Kucera&mesto=Czech Republic
252,Judit Sandor,Hungary,rozhodca.php?meno=Judit Sandor&mesto=Hungary
253,Robert Wota,Poland,rozhodca.php?meno=Robert Wota&mesto=Poland
254,Szalkai-Szabó Gábor,Csongrád,rozhodca.php?meno=Szalkai-Szabó Gábor&mesto=Csongrád
255,Dr. Hetei Rajmond Zoltán,Budapest,rozhodca.php?meno=Dr. Hetei Rajmond Zoltán&mesto=Budapest
256,Páli Viktória,Szentes,rozhodca.php?meno=Páli Viktória&mesto=Szentes
257,Dr. Török Dániel,Pécs,rozhodca.php?meno=Dr. Török Dániel&mesto=Pécs
258,Pestality Bianka,Baja,rozhodca.php?meno=Pestality Bianka&mesto=Baja
259,Alexey Litvinov,Oroszország,rozhodca.php?meno=Alexey Litvinov&mesto=Oroszország
260,Frederic Mosa,Franciaország,rozhodca.php?meno=Frederic Mosa&mesto=Franciaország
261,Pietro Braga,Olaszország,rozhodca.php?meno=Pietro Braga&mesto=Olaszország
262,Virgil Grigore,Románia,rozhodca.php?meno=Virgil Grigore&mesto=Románia
263,Szabó Norbert,Debrecen,rozhodca.php?meno=Szabó Norbert&mesto=Debrecen
264,Süttő -Tombácz Anikó,Miskolc,rozhodca.php?meno=Süttő -Tombácz Anikó&mesto=Miskolc
265,Pavel Imre,-,rozhodca.php?meno=Pavel Imre&mesto=-
266,Simon Szucs,Hungary,rozhodca.php?meno=Simon Szucs&mesto=Hungary
267,Marco Pasqualini,Italy,rozhodca.php?meno=Marco Pasqualini&mesto=Italy
268,Dr Barbulszki Borisz,Ráckeve,rozhodca.php?meno=Dr Barbulszki Borisz&mesto=Ráckeve
269,Andrej Micunek,Szlovákia,rozhodca.php?meno=Andrej Micunek&mesto=Szlovákia
270,Holger Thomas Nitsche,Germany,rozhodca.php?meno=Holger Thomas Nitsche&mesto=Germany
271,Luca Baricchi,Italy,rozhodca.php?meno=Luca Baricchi&mesto=Italy
272,Cristian Parnescu,Romania,rozhodca.php?meno=Cristian Parnescu&mesto=Romania
273,Petr Horácek,Slovakia,rozhodca.php?meno=Petr Horácek&mesto=Slovakia
274,Marko Vodnik,Slovenia,rozhodca.php?meno=Marko Vodnik&mesto=Slovenia
275,Helmut Hanke,Austria,rozhodca.php?meno=Helmut Hanke&mesto=Austria
276,Sergej Milicija,Bosnia And Herzegovina,rozhodca.php?meno=Sergej Milicija&mesto=Bosnia And Herzegovina
277,Beatrix Lajtai,Hungary,rozhodca.php?meno=Beatrix Lajtai&mesto=Hungary
278,Judit Rimányi,Hungary,rozhodca.php?meno=Judit Rimányi&mesto=Hungary
279,Csaba Bíró,Hungary,rozhodca.php?meno=Csaba Bíró&mesto=Hungary
280,Faluvégi András Dr.,Fülöp,rozhodca.php?meno=Faluvégi András Dr.&mesto=Fülöp
281,Lidziya Kats-Lazarava,Belarus,rozhodca.php?meno=Lidziya Kats-Lazarava&mesto=Belarus
282,Zsuzsanna Zsilak,Hungary,rozhodca.php?meno=Zsuzsanna Zsilak&mesto=Hungary
283,Vorobchenco Darya,-,rozhodca.php?meno=Vorobchenco Darya&mesto=-
284,Paolo Santin,Olaszország,rozhodca.php?meno=Paolo Santin&mesto=Olaszország
285,Tímer Péter,Pécs,rozhodca.php?meno=Tímer Péter&mesto=Pécs
286,Borisz Barbulszki,Ráckeve,rozhodca.php?meno=Borisz Barbulszki&mesto=Ráckeve
287,Schwartz Péter,Szentes,rozhodca.php?meno=Schwartz Péter&mesto=Szentes
288,Orosz-Szüllő Éva,Gyömrő,rozhodca.php?meno=Orosz-Szüllő Éva&mesto=Gyömrő
289,Tombácz Anikó,Miskolc,rozhodca.php?meno=Tombácz Anikó&mesto=Miskolc
290,Szalkai Szabó Gábor,Csongrád,rozhodca.php?meno=Szalkai Szabó Gábor&mesto=Csongrád
291,Szarvas Tibor,Debrecen,rozhodca.php?meno=Szarvas Tibor&mesto=Debrecen
292,Nenad Kircanski,Serbia,rozhodca.php?meno=Nenad Kircanski&mesto=Serbia
293,Alexandr Melnikov,Russian Federation,rozhodca.php?meno=Alexandr Melnikov&mesto=Russian Federation
294,Corina Alexandra Vlad,Romania,rozhodca.php?meno=Corina Alexandra Vlad&mesto=Romania
295,Jerry Abrate,Olaszország,rozhodca.php?meno=Jerry Abrate&mesto=Olaszország
296,Faludiné Lovas Henrietta,Szombathely,rozhodca.php?meno=Faludiné Lovas Henrietta&mesto=Szombathely
297,Faludiné Lovas Henriett,Szombathely,rozhodca.php?meno=Faludiné Lovas Henriett&mesto=Szombathely
298,Dragan Rancev,Szerbia,rozhodca.php?meno=Dragan Rancev&mesto=Szerbia
299,Julius Schwarcz,Szlovákia,rozhodca.php?meno=Julius Schwarcz&mesto=Szlovákia
300,Goran Knezevics,Szerbia,rozhodca.php?meno=Goran Knezevics&mesto=Szerbia
301,Püspöki -Markó Ágnes,-,rozhodca.php?meno=Püspöki -Markó Ágnes&mesto=-
302,Roman Mayer,Austria,rozhodca.php?meno=Roman Mayer&mesto=Austria
303,Andriy Polyvka,Ukraine,rozhodca.php?meno=Andriy Polyvka&mesto=Ukraine
304,Boris Odikadze,Israel,rozhodca.php?meno=Boris Odikadze&mesto=Israel
305,Asis Khadjeh-Nouri,Germany,rozhodca.php?meno=Asis Khadjeh-Nouri&mesto=Germany
306,Svetlana Gozun,Moldova,rozhodca.php?meno=Svetlana Gozun&mesto=Moldova
307,Mircea Gavrila,Romania,rozhodca.php?meno=Mircea Gavrila&mesto=Romania
308,Barbara Nagode-Ambroz,Slovenia,rozhodca.php?meno=Barbara Nagode-Ambroz&mesto=Slovenia
309,Matovay Viktória,Érd,rozhodca.php?meno=Matovay Viktória&mesto=Érd
310,Orosz-Szüllő József,Budapest,rozhodca.php?meno=Orosz-Szüllő József&mesto=Budapest
311,Szilnerné Györe Juditt,Székesfehérvár,rozhodca.php?meno=Szilnerné Györe Juditt&mesto=Székesfehérvár
312,Petr Bartunek,Czech Republic,rozhodca.php?meno=Petr Bartunek&mesto=Czech Republic
313,Cedric Degroot,Belgium,rozhodca.php?meno=Cedric Degroot&mesto=Belgium
314,Henriette Faludine Lovas,Hungary,rozhodca.php?meno=Henriette Faludine Lovas&mesto=Hungary
315,Diana Meshkova,Bulgaria,rozhodca.php?meno=Diana Meshkova&mesto=Bulgaria
316,Benkõ Zsófia,Budapest,rozhodca.php?meno=Benkõ Zsófia&mesto=Budapest
317,Alessandro Garofolo,Olaszország,rozhodca.php?meno=Alessandro Garofolo&mesto=Olaszország
318,Alexandr Muretov,Azerbajdzsán,rozhodca.php?meno=Alexandr Muretov&mesto=Azerbajdzsán
319,Guy Jottay,Belgium,rozhodca.php?meno=Guy Jottay&mesto=Belgium
320,Sergiy Kravchuk,Ukrajna,rozhodca.php?meno=Sergiy Kravchuk&mesto=Ukrajna
321,Kristina Horvatova,Szlovákia,rozhodca.php?meno=Kristina Horvatova&mesto=Szlovákia
322,Natalia Kulagina,Oroszország,rozhodca.php?meno=Natalia Kulagina&mesto=Oroszország
323,Vasile Constantin,Románia,rozhodca.php?meno=Vasile Constantin&mesto=Románia
324,Istvan Toth,Budapest,rozhodca.php?meno=Istvan Toth&mesto=Budapest
325,Kapronczai Balázs,Palkonya,rozhodca.php?meno=Kapronczai Balázs&mesto=Palkonya
326,Luisa Barbieri,Olaszország,rozhodca.php?meno=Luisa Barbieri&mesto=Olaszország
327,Hermann Götz,Ausztria,rozhodca.php?meno=Hermann Götz&mesto=Ausztria
328,Fredi Novak,Szlovénia,rozhodca.php?meno=Fredi Novak&mesto=Szlovénia
329,Lubos Novotny,Csehország,rozhodca.php?meno=Lubos Novotny&mesto=Csehország
330,Agnes Schneider,Ausztria,rozhodca.php?meno=Agnes Schneider&mesto=Ausztria
331,Horváthné Krizcki Zita,Orosháza,rozhodca.php?meno=Horváthné Krizcki Zita&mesto=Orosháza
332,Simonyi - Hornyák Hajnalka,Kaposvár,rozhodca.php?meno=Simonyi - Hornyák Hajnalka&mesto=Kaposvár
333,Szijártó Krisztina,Székesfehérvár,rozhodca.php?meno=Szijártó Krisztina&mesto=Székesfehérvár
334,Varga Gergely,Budapest,rozhodca.php?meno=Varga Gergely&mesto=Budapest
335,Szalai Attila,Budapest,rozhodca.php?meno=Szalai Attila&mesto=Budapest
336,Niko Basaric,Szlovénia,rozhodca.php?meno=Niko Basaric&mesto=Szlovénia
337,Marcin Scieglinski,Lengyelország,rozhodca.php?meno=Marcin Scieglinski&mesto=Lengyelország
338,Jegonyán Okszana,Budapest,rozhodca.php?meno=Jegonyán Okszana&mesto=Budapest
339,Krekusa Ferenc,Budapest,rozhodca.php?meno=Krekusa Ferenc&mesto=Budapest
340,Józsa Péter,Pécs,rozhodca.php?meno=Józsa Péter&mesto=Pécs
341,Alessandro De Sio,Olaszország,rozhodca.php?meno=Alessandro De Sio&mesto=Olaszország
342,Yavor Valchev,Albánia,rozhodca.php?meno=Yavor Valchev&mesto=Albánia
343,Guy Rosen,Luxemburg,rozhodca.php?meno=Guy Rosen&mesto=Luxemburg
344,Kurt Dvorak,Ausztria,rozhodca.php?meno=Kurt Dvorak&mesto=Ausztria
345,Peter Pfluger,Ausztria,rozhodca.php?meno=Peter Pfluger&mesto=Ausztria
346,Simonyi- Hornyák Hajnalka,Kaposvár,rozhodca.php?meno=Simonyi- Hornyák Hajnalka&mesto=Kaposvár
347,Heidi Goetz,Ausztria,rozhodca.php?meno=Heidi Goetz&mesto=Ausztria
348,Galina Smirnowa,Lengyelország,rozhodca.php?meno=Galina Smirnowa&mesto=Lengyelország
349,Nataliya Budkar,Oroszország,rozhodca.php?meno=Nataliya Budkar&mesto=Oroszország
350,Daiva Dackeviciene,Litvánia,rozhodca.php?meno=Daiva Dackeviciene&mesto=Litvánia
351,Ludmila Tsylents-Chojnacka,Fehéroroszország,rozhodca.php?meno=Ludmila Tsylents-Chojnacka&mesto=Fehéroroszország
352,Johnny Olesen,Norvégia,rozhodca.php?meno=Johnny Olesen&mesto=Norvégia
353,Mirea Decius,Románia,rozhodca.php?meno=Mirea Decius&mesto=Románia
354,Stephan Horvath,Szlovákia,rozhodca.php?meno=Stephan Horvath&mesto=Szlovákia
355,Victor Buenavida,Spain,rozhodca.php?meno=Victor Buenavida&mesto=Spain
356,Ojars Bacis,Latvia,rozhodca.php?meno=Ojars Bacis &mesto=Latvia
357,Guncey Yoney,Törökország,rozhodca.php?meno=Guncey Yoney&mesto=Törökország
358,Horia Preda,Románia,rozhodca.php?meno=Horia Preda&mesto=Románia
359,Yao Hu,Kína,rozhodca.php?meno=Yao Hu&mesto=Kína
360,Juris Arajs,Lettország,rozhodca.php?meno=Juris Arajs&mesto=Lettország
361,Arnold Péter,Budapest,rozhodca.php?meno=Arnold Péter&mesto=Budapest
362,Meretei-Simon Beáta,Zalaegerszeg,rozhodca.php?meno=Meretei-Simon Beáta&mesto=Zalaegerszeg
363,Jozsef Torokgyorgy,Hungary,rozhodca.php?meno=Jozsef Torokgyorgy&mesto=Hungary
364,Benedetto Capraro,Spain,rozhodca.php?meno=Benedetto Capraro&mesto=Spain
365,Katarina Baluchova,Slovakia,rozhodca.php?meno=Katarina Baluchova&mesto=Slovakia
366,Frank Venables,England,rozhodca.php?meno=Frank Venables&mesto=England
367,Peep Vardja,Estonia,rozhodca.php?meno=Peep Vardja&mesto=Estonia
368,Hans-Juergen Burger,Germany,rozhodca.php?meno=Hans-Juergen Burger&mesto=Germany
369,Marie Raiend,New Zealand,rozhodca.php?meno=Marie Raiend&mesto=New Zealand
370,Marija Lazarevic,Serbia,rozhodca.php?meno=Marija Lazarevic&mesto=Serbia
371,Yelena Nikon,Canada,rozhodca.php?meno=Yelena Nikon&mesto=Canada
372,Tibor Kocsis,Slovakia,rozhodca.php?meno=Tibor Kocsis&mesto=Slovakia
373,Jan Greets,Belgium,rozhodca.php?meno=Jan Greets&mesto=Belgium
374,Eduard Slimak,Szlovákia,rozhodca.php?meno=Eduard Slimak&mesto=Szlovákia
375,Alexander Tinkelman,Izrael,rozhodca.php?meno=Alexander Tinkelman&mesto=Izrael
376,Jose Gomes,Portugália,rozhodca.php?meno=Jose Gomes&mesto=Portugália
377,Kapronczai József,Szigetvár,rozhodca.php?meno=Kapronczai József&mesto=Szigetvár
378,Monica Gomes,Portugália,rozhodca.php?meno=Monica Gomes&mesto=Portugália
379,dr. Hetei Raymond Zoltán,Budapest,rozhodca.php?meno=dr. Hetei Raymond Zoltán&mesto=Budapest
380,Igor Mikalkov,Oroszország,rozhodca.php?meno=Igor Mikalkov&mesto=Oroszország
381,Jánosi lászló,Tóalmás,rozhodca.php?meno=Jánosi lászló&mesto=Tóalmás
382,Emanuel Jebelenau,Romania,rozhodca.php?meno=Emanuel Jebelenau&mesto=Romania
383,Cristian Corsi,Italy,rozhodca.php?meno=Cristian Corsi&mesto=Italy
384,Violeta Yaneva,Bulgária,rozhodca.php?meno=Violeta Yaneva&mesto=Bulgária
385,Giuseppe Magnelli,Olaszország,rozhodca.php?meno=Giuseppe Magnelli&mesto=Olaszország
386,Petr Chebotarev,Russian Federation,rozhodca.php?meno=Petr Chebotarev&mesto=Russian Federation
387,Carola Tuokko,Finland,rozhodca.php?meno=Carola Tuokko&mesto=Finland
388,Horváth Dávid,Szombathely,rozhodca.php?meno=Horváth Dávid&mesto=Szombathely
389,Pirkó-Geosits Eszter,Szombathely,rozhodca.php?meno=Pirkó-Geosits Eszter&mesto=Szombathely
390,Bogdán Róbert,Győr,rozhodca.php?meno=Bogdán Róbert&mesto=Győr
391,Elena Durdina,Russian Federation,rozhodca.php?meno=Elena Durdina&mesto=Russian Federation
392,Csaba Biro,Hungary,rozhodca.php?meno=Csaba Biro&mesto=Hungary
393,Dr. Barbulszki Borisz,-,rozhodca.php?meno=Dr. Barbulszki Borisz&mesto=-
394,Sergiu Luca,Germany,rozhodca.php?meno=Sergiu Luca&mesto=Germany
395,Gianita Bigazzi,Lesotho,rozhodca.php?meno=Gianita Bigazzi&mesto=Lesotho
396,Vlad Corina Alexandra,Romania,rozhodca.php?meno=Vlad Corina Alexandra&mesto=Romania
397,Vladimir Slon,Austria,rozhodca.php?meno=Vladimir Slon&mesto=Austria
398,Martin Odstrcil,Czech Republic,rozhodca.php?meno=Martin Odstrcil&mesto=Czech Republic
399,Marcel Gebert,Czech Republic,rozhodca.php?meno=Marcel Gebert&mesto=Czech Republic
400,Turcsány Gergely,Budapest,rozhodca.php?meno=Turcsány Gergely&mesto=Budapest
401,Július Schwarcz,Szlovákia,rozhodca.php?meno=Július Schwarcz&mesto=Szlovákia
402,Michelle Lindoe Enger,Norway,rozhodca.php?meno=Michelle Lindoe Enger&mesto=Norway
403,Svetlana Krivosheeva,Russian Federation,rozhodca.php?meno=Svetlana Krivosheeva&mesto=Russian Federation
404,Susanne Holde,Denmark,rozhodca.php?meno=Susanne Holde&mesto=Denmark
405,Jia Niu,China,rozhodca.php?meno=Jia Niu&mesto=China
406,Heidi Götz,Ausztria,rozhodca.php?meno=Heidi Götz&mesto=Ausztria
407,Nenad Jeftic,Szerbia,rozhodca.php?meno=Nenad Jeftic&mesto=Szerbia
408,Cristian Gheorghe Parnescu,Románia,rozhodca.php?meno=Cristian Gheorghe Parnescu&mesto=Románia
409,Denise Mayes,Anglia,rozhodca.php?meno=Denise Mayes&mesto=Anglia
410,Edita Daniute,Litvánia,rozhodca.php?meno=Edita Daniute&mesto=Litvánia
411,Gundars Briedis,Lettország,rozhodca.php?meno=Gundars Briedis&mesto=Lettország
412,Peter Nemeth,Hungary,rozhodca.php?meno=Peter Nemeth&mesto=Hungary
413,Mihai Petre,Romania,rozhodca.php?meno=Mihai Petre&mesto=Romania
414,Fútó Károly,Győr,rozhodca.php?meno=Fútó Károly&mesto=Győr
415,dr. Borisz Barbulszki,Ráckeve,rozhodca.php?meno=dr. Borisz Barbulszki&mesto=Ráckeve
416,Petar Milchev,Bulgaria,rozhodca.php?meno=Petar Milchev&mesto=Bulgaria
417,Vadkerti Viktor,Szlovákia,rozhodca.php?meno=Vadkerti Viktor&mesto=Szlovákia
418,Borsos Anikó,Szeged,rozhodca.php?meno=Borsos Anikó&mesto=Szeged
419,Andrej Skufca,Szlovénia,rozhodca.php?meno=Andrej Skufca&mesto=Szlovénia
420,Andrzej Gasiorowski,Lengyelország,rozhodca.php?meno=Andrzej Gasiorowski&mesto=Lengyelország
421,Michael Herditzka,Ausztria,rozhodca.php?meno=Michael Herditzka&mesto=Ausztria
422,Alessandro Camerotto,Italy,rozhodca.php?meno=Alessandro Camerotto&mesto=Italy
423,Jürgen Neudeck,Austria,rozhodca.php?meno=Jürgen Neudeck&mesto=Austria
424,Jaroslav Kriticka,Czech Rep.,rozhodca.php?meno=Jaroslav Kriticka&mesto=Czech Rep.
425,Krizytof Cisek,Poland,rozhodca.php?meno=Krizytof Cisek&mesto=Poland
426,Dr. Borisz Barbulszki,Kiskunlacháza,rozhodca.php?meno=Dr. Borisz Barbulszki&mesto=Kiskunlacháza
427,Havas Márta Gyöngyér,Debrecem,rozhodca.php?meno=Havas Márta Gyöngyér&mesto=Debrecem
428,Felix Castillo,Belgium,rozhodca.php?meno=Felix Castillo&mesto=Belgium
429,Aleksey Litvinov,Oroszország,rozhodca.php?meno=Aleksey Litvinov&mesto=Oroszország
430,Hetei Zoltán,Budapest,rozhodca.php?meno=Hetei Zoltán&mesto=Budapest
431,Markus Sonyi,Németország,rozhodca.php?meno=Markus Sonyi&mesto=Németország
432,Heinz Spaeker,Németország,rozhodca.php?meno=Heinz Spaeker&mesto=Németország
433,Oleg Petrovskyy,Ukraine,rozhodca.php?meno=Oleg Petrovskyy&mesto=Ukraine
434,Daniela Novak,Slovenia,rozhodca.php?meno=Daniela Novak&mesto=Slovenia
435,Michele Bonsignori,Italy,rozhodca.php?meno=Michele Bonsignori&mesto=Italy
436,Jebelóczky Richárd,Budapest,rozhodca.php?meno=Jebelóczky Richárd&mesto=Budapest
437,Azar Ashrafov,Azerbaijan,rozhodca.php?meno=Azar Ashrafov&mesto=Azerbaijan
438,Zsuzsanna Zsilák,Hungary,rozhodca.php?meno=Zsuzsanna Zsilák&mesto=Hungary
439,Horst Beer,Germany,rozhodca.php?meno=Horst Beer&mesto=Germany
440,Alberto Rodrigues,Portugal,rozhodca.php?meno=Alberto Rodrigues&mesto=Portugal
441,Prokopis Katiaj,Albánia,rozhodca.php?meno=Prokopis Katiaj&mesto=Albánia
442,Herczeg Krisztina,Szombathely,rozhodca.php?meno=Herczeg Krisztina&mesto=Szombathely
443,Szilner  Tibor,Székesfehérvár,rozhodca.php?meno=Szilner  Tibor&mesto=Székesfehérvár
444,Antoni Czyzyk,Poland,rozhodca.php?meno=Antoni Czyzyk&mesto=Poland
445,Etelka Lemakne Szabo,Hungary,rozhodca.php?meno=Etelka Lemakne Szabo&mesto=Hungary
446,Stefan Green,Italy,rozhodca.php?meno=Stefan Green&mesto=Italy
447,Vano Kandelaki,Georgia,rozhodca.php?meno=Vano Kandelaki&mesto=Georgia
448,Ismet Muftuoglu,Turkey,rozhodca.php?meno=Ismet Muftuoglu&mesto=Turkey
449,Michelle Abildtrup,Denmark,rozhodca.php?meno=Michelle Abildtrup&mesto=Denmark
450,Jean-Sebastien Godet,France,rozhodca.php?meno=Jean-Sebastien Godet&mesto=France
451,Shen Yi,China,rozhodca.php?meno=Shen Yi&mesto=China
452,Alicja Majewska,Poland,rozhodca.php?meno=Alicja Majewska&mesto=Poland
453,Eva Balikone-Akkerman,Hungary,rozhodca.php?meno=Eva Balikone-Akkerman&mesto=Hungary
454,Juergen Neudeck,France,rozhodca.php?meno=Juergen Neudeck&mesto=France
455,Bo Loft Jensen,Denmark,rozhodca.php?meno=Bo Loft Jensen&mesto=Denmark
456,Püspöki- Markó Ágnes,-,rozhodca.php?meno=Püspöki- Markó Ágnes&mesto=-
457,Petr Odstrcil,Czech Republic,rozhodca.php?meno=Petr Odstrcil&mesto=Czech Republic
458,Maddalena Merelli,Italy,rozhodca.php?meno=Maddalena Merelli&mesto=Italy
459,Alexandru Rusu,Románia,rozhodca.php?meno=Alexandru Rusu&mesto=Románia
460,Laszlo Oze,Hungary,rozhodca.php?meno=Laszlo Oze&mesto=Hungary
461,Siscu Perez,Spain,rozhodca.php?meno=Siscu Perez &mesto=Spain
462,Vodovenyecz Andrea,Szeged,rozhodca.php?meno=Vodovenyecz Andrea&mesto=Szeged
463,Branislava Radovanovic,-,rozhodca.php?meno=Branislava Radovanovic&mesto=-
464,Zufar Zaripov,-,rozhodca.php?meno=Zufar Zaripov&mesto=-
465,Antonia Goffredo,Italy,rozhodca.php?meno=Antonia Goffredo&mesto=Italy
466,Peter Kuzma,Hungary,rozhodca.php?meno=Peter Kuzma&mesto=Hungary
467,Igor Jagersky,Slovakia,rozhodca.php?meno=Igor Jagersky&mesto=Slovakia
468,Judit Rimanyi,Szombathely,rozhodca.php?meno=Judit Rimanyi&mesto=Szombathely
469,Mirco D'Agostino,Italy,rozhodca.php?meno=Mirco D
470,Zoltan Sandor,Hungary,rozhodca.php?meno=Zoltan Sandor&mesto=Hungary
471,Fischer Mariann,Erdőkertes,rozhodca.php?meno=Fischer Mariann&mesto=Erdőkertes
472,Kósa András,Csongrád,rozhodca.php?meno=Kósa András &mesto=Csongrád
473,Anita Langset,Norvégia,rozhodca.php?meno=Anita Langset&mesto=Norvégia
474,Martin Parmas,Litvánia,rozhodca.php?meno=Martin Parmas&mesto=Litvánia
475,Földházi  Péter,Budapest,rozhodca.php?meno=Földházi  Péter&mesto=Budapest
476,Fülöpné Czakó Mónika,Budapest,rozhodca.php?meno=Fülöpné Czakó Mónika&mesto=Budapest
477,Schreiber-Hidasi Gabriella,Budapest,rozhodca.php?meno=Schreiber-Hidasi Gabriella&mesto=Budapest
478,Nagy Márta,Budapest,rozhodca.php?meno=Nagy Márta&mesto=Budapest
479,Hajma Miklós,Budapest,rozhodca.php?meno=Hajma Miklós&mesto=Budapest
